date,ticker,signal,confidence,signal_source,sector,n_matches,raw_prob,mean_7d_return
2024-04-02,QQQ,HOLD,0.566588,KNN,Index,51,0.568627,0.378
2024-04-03,QQQ,HOLD,0.585592,KNN,Index,51,0.607843,0.4921
2024-04-04,QQQ,HOLD,0.6498,KNN,Index,51,0.745098,1.2793
2024-04-05,QQQ,HOLD,0.566588,KNN,Index,51,0.568627,0.1084
2024-04-08,QQQ,HOLD,0.604343,KNN,Index,51,0.647059,0.979
2024-04-09,QQQ,HOLD,0.613609,KNN,Index,51,0.666667,0.8704
2024-04-10,QQQ,HOLD,0.585592,KNN,Index,51,0.607843,0.2703
2024-04-11,QQQ,HOLD,0.547387,KNN,Index,51,0.529412,0.0848
2024-04-12,QQQ,HOLD,0.585592,KNN,Index,51,0.607843,0.3751
2024-04-15,QQQ,HOLD,0.53773,KNN,Index,51,0.509804,0.3162
2024-04-16,QQQ,HOLD,0.528044,KNN,Index,51,0.490196,-0.2444
2024-04-17,QQQ,HOLD,0.622793,KNN,Index,51,0.686275,1.3438
2024-04-18,QQQ,HOLD,0.585592,KNN,Index,51,0.607843,0.2936
2024-04-19,QQQ,HOLD,0.543612,KNN,Index,46,0.521739,0.29
2024-04-22,QQQ,HOLD,0.575498,KNN,Index,46,0.586957,0.4712
2024-04-23,QQQ,HOLD,0.581809,KNN,Index,50,0.6,0.6589
2024-04-24,QQQ,BUY,0.665394,KNN,Index,50,0.78,1.8925
2024-04-25,QQQ,HOLD,0.572122,KNN,Index,50,0.58,0.8787
2024-04-26,QQQ,HOLD,0.576118,KNN,Index,51,0.588235,0.4985
2024-04-29,QQQ,HOLD,0.595002,KNN,Index,51,0.627451,0.1457
2024-04-30,QQQ,HOLD,0.609777,KNN,Index,41,0.658537,1.5632
2024-05-01,QQQ,HOLD,0.550076,KNN,Index,43,0.534884,-0.3414
2024-05-02,QQQ,HOLD,0.586002,KNN,Index,46,0.608696,0.8894
2024-05-03,QQQ,HOLD,0.557009,KNN,Index,51,0.54902,0.365
2024-05-06,QQQ,HOLD,0.604343,KNN,Index,51,0.647059,0.7097
